"GISJOIN","ADI_NATRANK","ADI_STATERNK","FIPS"
"G17003100510001","13","1","170310510001"
"G17003100511001","7","1","170310511001"
"G17003100512001","6","1","170310512001"
"G17003100512002","6","1","170310512002"
"G17003100513001","4","1","170310513001"
"G17003100513002","9","1","170310513002"
"G17003100514001","12","1","170310514001"
"G17003100514002","18","1","170310514002"
"G17003100601001","5","1","170310601001"
"G17003100601002","11","1","170310601002"
"G17003100601003","23","2","170310601003"
"G17003100602001","7","1","170310602001"
"G17003100602002","15","1","170310602002"
"G17003100603001","14","1","170310603001"
"G17003100603002","11","1","170310603002"
"G17003100604001","10","1","170310604001"
"G17003100604002","5","1","170310604002"
"G17003100604003","9","1","170310604003"
"G17003100605001","8","1","170310605001"
"G17003100608001","38","3","170310608001"
"G17003100608002","PH","PH","170310608002"
"G17003100608003","58","6","170310608003"
"G17003100608004","37","3","170310608004"
"G17003100609001","33","3","170310609001"
"G17003100609002","PH","PH","170310609002"
"G17003100609003","18","1","170310609003"
"G17003100609004","65","6","170310609004"
"G17003100609005","48","4","170310609005"
"G17003100609006","46","4","170310609006"
"G17003100610001","15","1","170310610001"
"G17003100611001","13","1","170310611001"
"G17003100612001","6","1","170310612001"
"G17003100615001","9","1","170310615001"
"G17003100618001","25","2","170310618001"
"G17003100619011","56","5","170310619011"
"G17003100619012","19","2","170310619012"
"G17003100619013","37","3","170310619013"
"G17003100619014","50","5","170310619014"
"G17003100619021","31","3","170310619021"
"G17003100619022","19","2","170310619022"
"G17003100619023","32","3","170310619023"
"G17003100619024","PH","PH","170310619024"
"G17003100620001","23","2","170310620001"
"G17003100620002","36","3","170310620002"
"G17003100621001","9","1","170310621001"
"G17003100621002","18","1","170310621002"
"G17003100621003","22","2","170310621003"
"G17003100622001","9","1","170310622001"
"G17003100622002","8","1","170310622002"
"G17003100623001","5","1","170310623001"
"G17003100624001","10","1","170310624001"
"G17003100625001","12","1","170310625001"
"G17003100626001","5","1","170310626001"
"G17003100627001","4","1","170310627001"
